name,cost,weight,isMagical,shortDesc,longDesc,itemType,weaponClass,weaponType,wieldType,damageS,damageM,damageType,critMult,critMin,special,armorType,acBonus,maxDex,checkPenalty,spellFailure
Backpack,200,2,FALSE,empty,,gear,,,,,,,,,,,,,,
Barrel,200,30,FALSE,empty,,gear,,,,,,,,,,,,,,
Basket,40,1,FALSE,empty,,gear,,,,,,,,,,,,,,
Bedroll,10,5,FALSE,,,gear,,,,,,,,,,,,,,
Bell,100,0,FALSE,,,gear,,,,,,,,,,,,,,
Blanket,50,3,FALSE,winter,,gear,,,,,,,,,,,,,,
Block and tackle,500,5,FALSE,,,gear,,,,,,,,,,,,,,
Bottle,200,1,FALSE,glass,,gear,,,,,,,,,,,,,,
Bucket,50,2,FALSE,empty,,gear,,,,,,,,,,,,,,
Caltrops,100,2,FALSE,,"A caltrop is a four-pronged metal spike crafted so that one prong faces up no matter how the caltrop comes to rest. You scatter caltrops on the ground in the hope that your enemies step on them or are at least forced to slow down to avoid them. One 2-pound bag of caltrops covers an area 5 feet square. Each time a creature moves into an area covered by caltrops (or spends a round fighting while standing in such an area), it runs the risk of stepping on one. Make an attack roll for the caltrops (base attack bonus +0) against the creature. For this attack, the creature's shield, armor, and deflection bonuses do not count. If the creature is wearing shoes or other footwear, it gets a +2 armor bonus to AC. If the attack succeeds, the creature has stepped on a caltrop. The caltrop deals 1 point of damage, and the creature's speed is reduced by half because its foot is wounded. This movement penalty lasts for 24 hours, until the creature is successfully treated with a DC 15 Heal check, or until it receives at least 1 point of magical healing. A charging or running creature must immediately stop if it steps on a caltrop. Any creature moving at half speed or slower can pick its way through a bed of caltrops with no trouble. Caltrops may not work against unusual opponents.",gear,,,,,,,,,,,,,,
Candle,1,0,FALSE,,"A candle dimly illuminates a small area, increasing the light level in a 5-foot radius by one step (darkness becomes dim light and dim light becomes normal light). A candle cannot increase the light level above normal light. A candle burns for 1 hour.",gear,,,,,,,,,,,,,,
Canvas,10,1,FALSE,sq. yd.,,gear,,,,,,,,,,,,,,
Case,100,0.5,FALSE,map or scroll,,gear,,,,,,,,,,,,,,
Chain,3000,2,FALSE,10 ft.,Chain has hardness 10 and 5 hit points. It can be burst with a DC 26 Strength check.,gear,,,,,,,,,,,,,,
Chalk,1,0,FALSE,1 piece,,gear,,,,,,,,,,,,,,
Chest,200,25,FALSE,empty,,gear,,,,,,,,,,,,,,
Crowbar,200,5,FALSE,,"A crowbar grants a +2 circumstance bonus on Strength checks made to force open a door or chest. If used in combat, treat a crowbar as a one-handed improvised weapon that deals bludgeoning damage equal to that of a club of its size.",gear,,,,,,,,,,,,,,
Firewood,1,20,FALSE,per day,,gear,,,,,,,,,,,,,,
Fishhook,10,0,FALSE,,,gear,,,,,,,,,,,,,,
Fishing net,400,5,FALSE,25 sq. ft.,,gear,,,,,,,,,,,,,,
Flask,3,1.5,FALSE,empty,,gear,,,,,,,,,,,,,,
Flint and steel,100,0,FALSE,,"Lighting a torch with flint and steel is a fullround action, and lighting any other fire with them takes at least that long.",gear,,,,,,,,,,,,,,
Grappling hook,100,4,FALSE,,"Throwing a grappling hook requires a ranged attack roll, treating the hook as a thrown weapon with a range increment of 10 feet. Objects with ample places to catch the hook are AC 5.",gear,,,,,,,,,,,,,,
Hammer,50,2,FALSE,,"If a hammer is used in combat, treat it as a onehanded improvised weapon that deals bludgeoning damage equal to that of a spiked gauntlet of its size.",gear,,,,,,,,,,,,,,
Hourglass,2500,1,FALSE,,,gear,,,,,,,,,,,,,,
Ink,800,0,FALSE,1 oz. vial,Ink in colors other than black costs twice as much,gear,,,,,,,,,,,,,,
Inkpen,10,0,FALSE,,,gear,,,,,,,,,,,,,,
Jug,3,9,FALSE,clay,This basic jug is fitted with a stopper and holds 1 gallon of liquid.,gear,,,,,,,,,,,,,,
Ladder,20,20,FALSE,10 ft.,,gear,,,,,,,,,,,,,,
Lamp,10,1,FALSE,common,"A lamp illuminates a small area, providing normal light in a 15-foot radius and increasing the light level by one step for an additional 15 feet beyond that area (darkness becomes dim light and dim light becomes normal light). A lamp does not increase the light level in normal light or bright light. A lamp burns for 6 hours on one pint of oil. You can carry a lamp in one hand",gear,,,,,,,,,,,,,,
Lantern,1200,3,FALSE,bullseye,"A bullseye lantern provides normal light in a 60-foot cone and increases the light level by one step in the area beyond that, out to a 120-foot cone (darkness becomes dim light and dim light becomes normal light). A bullseye lantern does not increase the light level in normal light or bright light. A lantern burns for 6 hours on one pint of oil. You can carry a lantern in one hand.",gear,,,,,,,,,,,,,,
Lantern,700,2,FALSE,hooded,A hooded lantern sheds normal light in a 30-foot radius and increases the light level by one step for an additional 30 feet beyond that area (darkness becomes dim light and dim light becomes normal light). A hooded lantern does not increase the light level in normal light or bright light. A lantern burns for 6 hours on one pint of oil. You can carry a lantern in one hand.,gear,,,,,,,,,,,,,,
Lock,2000,1,FALSE,simple,"The DC to open a lock with the Disable Device skill depends on the lock's quality: simple (DC 20), average (DC 25), good (DC 30), or superior (DC 40).",gear,,,,,,,,,,,,,,
Lock,4000,1,FALSE,average,"The DC to open a lock with the Disable Device skill depends on the lock's quality: simple (DC 20), average (DC 25), good (DC 30), or superior (DC 40).",gear,,,,,,,,,,,,,,
Lock,8000,1,FALSE,good,"The DC to open a lock with the Disable Device skill depends on the lock's quality: simple (DC 20), average (DC 25), good (DC 30), or superior (DC 40).",gear,,,,,,,,,,,,,,
Lock,15000,1,FALSE,superior,"The DC to open a lock with the Disable Device skill depends on the lock's quality: simple (DC 20), average (DC 25), good (DC 30), or superior (DC 40).",gear,,,,,,,,,,,,,,
