name,cost,weight,isMagical,shortDesc,longDesc,itemType,weaponClass,weaponType,wieldType,damageS,damageM,damageType,critMult,critMin,special,armorType,acBonus,maxDex,checkPenalty,spellFailure
Arrows,100,3,FALSE,(20),An arrow used as a melee weapon is treated as a light improvised weapon (–4 penalty on attack rolls) and deals damage as a dagger of its size (critical multiplier ×2). Arrows come in a leather quiver that holds 20 arrows.,weapon,martial,ranged,,,,,,,,,,,,
Axe,800,2,FALSE,throwing,,weapon,martial,melee,light,1d4,1d6,s,2,20,,,,,,
Axe,6000,15,FALSE,orc double,"A cruel weapon with blades placed at opposite ends of a long haft, an orc double axe is a double weapon.",weapon,exotic,melee,two-handed,1d6/1d6,1d8/1d8,s,3,20,double,,,,,
Battleaxe,1000,6,FALSE,,,weapon,martial,melee,one-handed,1d6,1d8,s,3,20,,,,,,
Blowgun,200,1,FALSE,,"Blowguns are generally used to deliver debilitating (but rarely fatal) poisons from a distance. They are nearly silent when fired. For a list of appropriate poisons, see Poison.",weapon,simple,ranged,,1,1d2,p,2,20,,,,,,
Blowgun darts,50,,FALSE,(10),,weapon,simple,ammo,,,,,,,,,,,,
Bolas,500,2,FALSE,,"A bolas is a pair of weights, connected by a thin rope or cord. You can use this weapon to make a ranged trip attack against an opponent. You can't be tripped during your own trip attempt when using a bolas.",weapon,exotic,ranged,,1d3,1d4,b,2,20,nonleathal&trip,,,,,
Chain,2500,10,FALSE,spiked,"A spiked chain is about 4 feet in length, covered in wicked barbs. You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with a spiked chain sized for you, even though it isn't a light weapon.",weapon,exotic,melee,two-handed,1d6,2d4,p,2,20,disarm&trip,,,,,
Club,,3,FALSE,,,weapon,simple,melee,one-handed,1d4,1d6,b,2,20,,,,,,
Crossbow,5000,8,FALSE,heavy,"You draw a heavy crossbow back by turning a small winch. Loading a heavy crossbow is a fullround action that provokes attacks of opportunity. Normally, operating a heavy crossbow requires two hands. However, you can shoot, but not load, a heavy crossbow with one hand at a –4 penalty on attack rolls. You can shoot a heavy crossbow with each hand, but you take a penalty on attack rolls as if attacking with two one-handed weapons. This penalty is cumulative with the penalty for one-handed firing.",weapon,simple,ranged,,1d8,1d10,p,2,19,,,,,,
Crossbow,3500,4,FALSE,light,"You draw a light crossbow back by pulling a lever. Loading a light crossbow is a move action that provokes attacks of opportunity. Normally, operating a light crossbow requires two hands. However, you can shoot, but not load, a light crossbow with one hand at a –2 penalty on attack rolls. You can shoot a light crossbow with each hand, but you take a penalty on attack rolls as if attacking with two light weapons. This penalty is cumulative with the penalty for one-handed firing.",weapon,simple,ranged,,1d6,1d8,p,2,19,,,,,,
Crossbow,10000,2,FALSE,hand,,weapon,exotic,ranged,"You can draw a hand crossbow back by hand. Loading a hand crossbow is a move action that provokes attacks of opportunity. You can shoot, but not load, a hand crossbow with one hand at no penalty. You can shoot a hand crossbow with each hand, but you take a penalty on attack rolls as if attacking with two light weapons.",1d3,1d4,p,2,19,,,,,,
Crossbow,40000,12,FALSE,light repeating,"The repeating crossbow (whether heavy or light) holds 5 crossbow bolts. As long as it holds bolts, you can reload it by pulling the reloading lever (a free action). Loading a new case of 5 bolts is a full-round action that provokes attacks of opportunity. You can fire a repeating crossbow with one hand or fire a repeating crossbow in each hand in the same manner as you would a normal crossbow of the same size. However, you must fire the weapon with two hands in order to use the reloading lever, and you must use two hands to load a new case of bolts.",weapon,exotic,ranged,,1d8,1d10,p,2,19,,,,,,
Crossbow,25000,6,FALSE,heavy repeating,"The repeating crossbow (whether heavy or light) holds 5 crossbow bolts. As long as it holds bolts, you can reload it by pulling the reloading lever (a free action). Loading a new case of 5 bolts is a full-round action that provokes attacks of opportunity. You can fire a repeating crossbow with one hand or fire a repeating crossbow in each hand in the same manner as you would a normal crossbow of the same size. However, you must fire the weapon with two hands in order to use the reloading lever, and you must use two hands to load a new case of bolts.",weapon,exotic,ranged,,1d6,1d8,p,2,19,,,,,,
Crossbow bolts,100,1,FALSE,(10),"A crossbow bolt used as a melee weapon is treated as a light improvised weapon (–4 penalty on attack rolls) and deals damage as a dagger of its size (crit ×2). Bolts come in a case or quiver that holds 10 bolts (or 5, for a repeating crossbow).",weapon,simple,ammo,,,,,,,,,,,,
Curve blade,8000,7,FALSE,elven,"Essentially a longer version of a scimitar, but with a thinner blade, the elven curve blade is exceptionally rare. You receive a +2 circumstance bonus to your Combat Maneuver Defense whenever a foe attempts to sunder your elven curve blade due to its flexible metal. You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with an elven curve blade sized for you, even though it isn't a light weapon.",weapon,exotic,melee,two-handed,1d8,1d10,s,2,18,,,,,,
Dagger,200,1,FALSE,,A dagger has a blade that is about 1 foot in length. You get a +2 bonus on Sleight of Hand skill checks made to conceal a dagger on your body (see Using Skills).,weapon,simple,melee,light,1d3,1d4,p|s,2,19,,,,,,
Dagger,200,1,FALSE,punching,A punching dagger's blade is attached to a horizontal handle that projects out from the fist when held.,weapon,simple,melee,light,1d3,1d4,p,3,20,,,,,,
Dart,50,0.5,FALSE,,,weapon,simple,ranged,,1d3,1d4,p,2,20,,,,,,
Falchion,7500,8,FALSE,,,weapon,martial,melee,two-handed,1d6,2d4,s,2,18,,,,,,
Flail,800,5,FALSE,,"A flail consists of a spiked metal ball, connected to a handle by a sturdy chain.",weapon,martial,melee,one-handed,1d6,1d8,b,2,20,disarm&trip,,,,,
Flail,1500,10,FALSE,heavy,"Similar to a flail, a heavy flail has a larger metal ball and a longer handle.",weapon,martial,melee,two-handed,1d8,1d10,b,2,19,disarm&trip,,,,,
Flail,9000,10,FALSE,dire,A dire flail consists of two spheres of spiked iron dangling from chains at opposite ends of a long haft.,weapon,exotic,melee,two-handed,1d6/1d6,1d8/1d8,b,2,20,disarm&double&trip,,,,,
Gauntlet,200,1,FALSE,,This metal glove lets you deal lethal damage rather than nonlethal damage with unarmed strikes. A strike with a gauntlet is otherwise considered an unarmed attack. The cost and weight given are for a single gauntlet. Medium and heavy armors (except breastplate) come with gauntlets. Your opponent cannot use a disarm action to disarm you of gauntlets.,weapon,simple,melee,unarmed,1d2,1d3,b,2,20,,,,,,
Gauntlet,500,1,FALSE,spiked,The cost and weight given are for a single gauntlet. An attack with a spiked gauntlet is considered an armed attack. Your opponent cannot use a disarm action to disarm you of spiked gauntlets.,weapon,simple,melee,light,1d3,1d4,p,2,20,,,,,,
Glaive,800,10,FALSE,,"A glaive is a simple blade, mounted to the end of a pole about 7 feet in length.",weapon,martial,melee,two-handed,1d8,1d10,s,3,20,reach,,,,,
Greataxe,2000,12,FALSE,,,weapon,martial,melee,two-handed,1d10,1d12,s,3,20,,,,,,
Greatclub,500,8,FALSE,,,weapon,martial,melee,two-handed,1d8,1d10,b,2,20,,,,,,
Greatsword,5000,8,FALSE,,This immense two-handed sword is about 5 feet in length.,weapon,martial,melee,two-handed,1d10,2d6,s,2,19,,,,,,
Guisarme,900,12,FALSE,,A guisarme is an 8-foot-long shaft with a blade and a hook mounted at the tip.,weapon,martial,melee,two-handed,1d6,2d4,s,3,20,disarm&trip,,,,,
Halberd,1000,12,FALSE,,"A halberd is similar to a 5-foot-long spear, but it also has a small, axe-like head mounted near the tip.",weapon,martial,melee,two-handed,1d8,1d10,p|s,3,20,brace&trip,,,,,
Hammer,100,2,FALSE,light,,weapon,martial,melee,light,1d3,1d4,b,2,20,,,,,,
Hammer,2000,6,FALSE,gnome hooked,"A gnome hooked hammer is a double weapon—an ingenious tool with a hammer head at one end of its haft and a long, curved pick at the other. The hammer's blunt head is a bludgeoning weapon that deals 1d6 points of damage (crit ×3). Its hook is a piercing weapon that deals 1d4 points of damage (crit ×4). You can use either head as the primary weapon. Gnomes treat hooked hammers as martial weapons.",weapon,exotic,melee,two-handed,1d6/1d4,1d8/1d6,b|p,3,20,double&trip,,,,,
Handaxe,600,3,FALSE,,,weapon,martial,melee,light,1d4,1d6,s,3,20,,,,,,
Javeline,100,2,FALSE,,"A javelin is a thin throwing spear . Since it is not designed for melee, you are treated as nonproficient with it and take a –4 penalty on attack rolls if you use a javelin as a melee weapon.",weapon,simple,ranged,,1d4,1d6,p,2,20,,,,,,
Kama,200,2,FALSE,,"Similar to a sickle, a kama is a short, curved blade attached to a simple handle.",weapon,exotic,melee,light,1d4,1d6,s,2,20,monk&trip,,,,,
Kukri,800,2,FALSE,,"A kukri is a curved blade, about 1 foot in length.",weapon,martial,melee,light,1d3,1d4,s,2,18,,,,,,
Lance,1000,10,FALSE,,"A lance deals double damage when used from the back of a charging mount. While mounted, you can wield a lance with one hand.",weapon,martial,melee,two-handed,1d6,1d8,p,3,20,reach,,,,,
Longbow,7500,3,FALSE,,"At almost 5 feet in height, a longbow is made up of one solid piece of carefully curved wood. You need two hands to use a bow, regardless of its size. A longbow is too unwieldy to use while you are mounted. If you have a penalty for low Strength, apply it to damage rolls when you use a longbow. If you have a Strength bonus, you can apply it to damage rolls when you use a composite longbow (see below), but not when you use a regular longbow.",weapon,martial,ranged,,1d6,1d8,p,3,20,,,,,,
Longbow,10000,3,FALSE,composite,"You need at least two hands to use a bow, regardless of its size. You can use a composite longbow while mounted. All composite bows are made with a particular strength rating (that is, each requires a minimum Strength modifier to use with proficiency). If your Strength bonus is less than the strength rating of the composite bow, you can't effectively use it, so you take a –2 penalty on attacks with it. The default composite longbow requires a Strength modifier of +0 or higher to use with proficiency. A composite longbow can be made with a high strength rating to take advantage of an above-average Strength score; this feature allows you to add your Strength bonus to damage, up to the maximum bonus indicated for the bow. Each point of Strength bonus granted by the bow adds 100 gp to its cost. If you have a penalty for low Strength, apply it to damage rolls when you use a composite longbow. For purposes of Weapon Proficiency and similar feats, a composite longbow is treated as if it were a longbow",weapon,martial,ranged,,1d6,1d8,p,3,20,,,,,,
Longspear,500,9,FALSE,,A longspear is about 8 feet in length.,weapon,simple,melee,two-handed,1d6,1d8,p,3,20,brace&reach,,,,,
Longsword,1500,4,FALSE,,This sword is about 3-1/2 feet in length.,weapon,martial,melee,one-handed,1d6,1d8,s,3,19,,,,,,
Mace,500,4,FALSE,light,A mace is made up of an ornate metal head attached to a simple wooden or metal shaft.,weapon,simple,melee,light,1d4,1d6,b,2,20,,,,,,
Mace,1200,8,FALSE,heavy,A heavy mace has a larger head and a longer handle than a normal mace.,weapon,simple,melee,one-handed,1d6,1d8,b,2,20,,,,,,
Morningstar,800,6,FALSE,,"A morningstar is a spiked metal ball, affixed to the top of a long handle.",weapon,simple,melee,one-handed,1d6,1d8,b&p,2,20,,,,,,
Net,2000,6,FALSE,,"A net is used to entangle enemies. When you throw a net, you make a ranged touch attack against your target. A net's maximum range is 10 feet. If you hit, the target is entangled. An entangled creature takes a –2 penalty on attack rolls and a –4 penalty on Dexterity, can move at only half speed, and cannot charge or run. If you control the trailing rope by succeeding on an opposed Strength check while holding it, the entangled creature can move only within the limits that the rope allows. If the entangled creature attempts to cast a spell, it must make a concentration check with a DC of 15 + the spell's level or be unable to cast the spell. An entangled creature can escape with a DC 20 Escape Artist check (a full-round action). The net has 5 hit points and can be burst with a DC 25 Strength check (also a full-round action). A net is useful only against creatures within one size category of you. A net must be folded to be thrown effectively. The first time you throw your net in a fight, you make a normal ranged touch attack roll. After the net is unfolded, you take a –4 penalty on attack rolls with it. It takes 2 rounds for a proficient user to fold a net and twice that long for a nonproficient one to do so.",weapon,exotic,ranged,,,,,,,,,,,,
Nunchaku,200,2,FALSE,,A nunchaku is made up of two wooden or metal bars connected by a small length of rope or chain.,weapon,exotic,melee,light,1d4,1d6,b,2,20,disarm&monk,,,,,
Pick,400,3,FALSE,light,,weapon,martial,melee,light,1d3,1d4,p,4,20,,,,,,
Pick,800,6,FALSE,heavy,,weapon,martial,melee,one-handed,d14,1d6,p,4,20,,,,,,
Quarterstaff,,4,FALSE,,"A quarterstaff is a simple piece of wood, about 5 feet in length.",weapon,simple,melee,two-handed,1d4/1d4,1d6/1d6,b,2,20,double (monk),,,,,
Ranseur,1000,12,FALSE,,"Similar in appearance to a trident, a ranseur has a single spear at its tip, flanked by a pair of short, curving blades.",weapon,martial,melee,two-handed,1d6,2d4,p,3,20,disarm&reach,,,,,
Rapier,2000,2,FALSE,,"You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with a rapier sized for you, even though it isn't a light weapon. You can't wield a rapier in two hands in order to apply 1-1/2 times your Strength bonus to damage.",weapon,martial,melee,one-handed,d14d,1d6,p,2,18,,,,,,
Sai,100,1,FALSE,,"A sai is a metal spike flanked by a pair of prongs used to trap an enemy's weapon. With a sai, you get a +2 bonus on Combat Maneuver Checks to sunder an enemy's weapon. Though pointed, a sai is used primarily to bludgeon foes and to disarm weapons.",weapon,exotic,melee,light,1d3,1d4,b,2,20,disarm&monk,,,,,
Sap,100,2,FALSE,,,weapon,martial,melee,light,1d4,1d6,b,2,20,nonleathal,,,,,
Scimitar,1500,4,FALSE,,,weapon,martial,melee,one-handed,1d4,1d6,s,2,18,,,,,,
Scythe,1800,10,FALSE,,,weapon,martial,melee,two-handed,1d6,2d4,p|s,4,20,trip,,,,,
Shortbow,3000,2,FALSE,,"A shortbow is made up of one piece of wood, about 3 feet in length. You need two hands to use a bow, regardless of its size. You can use a shortbow while mounted. If you have a penalty for low Strength, apply it to damage rolls when you use a shortbow. If you have a bonus for high Strength, you can apply it to damage rolls when you use a composite shortbow (see below), but not a regular shortbow.",weapon,martial,ranged,,1d4,1d6,p,3,20,,,,,,
Shortbow,7500,2,FALSE,composite,"You need at least two hands to use a bow, regardless of its size. You can use a composite shortbow while mounted. All composite bows are made with a particular strength rating (that is, each requires a minimum Strength modifier to use with proficiency). If your Strength bonus is lower than the strength rating of the composite bow, you can't effectively use it, so you take a –2 penalty on attacks with it. The default composite shortbow requires a Strength modifier of +0 or higher to use with proficiency. A composite shortbow can be made with a high strength rating to take advantage of an above-average Strength score; this feature allows you to add your Strength bonus to damage, up to the maximum bonus indicated for the bow. Each point of Strength bonus granted by the bow adds 75 gp to its cost. If you have a penalty for low Strength, apply it to damage rolls when you use a composite shortbow. For purposes of Weapon Proficiency, Weapon Focus, and similar feats, a composite shortbow is treated as if it were a shortbow.",weapon,martial,ranged,,1d4,1d6,p,3,20,,,,,,
Shortspear,100,3,FALSE,,"A shortspear is about 3 feet in length, making it a suitable thrown weapon.",weapon,simple,melee,one-handed,1d4,1d6,p,2,20,,,,,,
Shortsword,1000,2,FALSE,,This sword is about 2 feet in length.,weapon,martial,melee,light,1d4,1d6,p,2,19,,,,,,
Shuriken,100,0.5,FALSE,(5),"A shuriken is a small piece of metal with sharpened edges, designed for throwing. A shuriken can't be used as a melee weapon. Although they are thrown weapons, shuriken are treated as ammunition for the purposes of drawing them, crafting masterwork or otherwise special versions of them, and what happens to them after they are thrown.",weapon,exotic,ranged,,1,1d2,p,2,20,monk,,,,,
Siangham,300,1,FALSE,,This weapon is a handheld shaft fitted with a pointed tip for stabbing foes.,weapon,exotic,melee,light,1d4,1d6,p,2,20,monk,,,,,
Sickle,600,2,FALSE,,,weapon,simple,melee,light,1d4,1d6,s,2,20,trip,,,,,
Sling,,,FALSE,,"A sling is little more than a leather cup attached to a pair of strings. Your Strength modifier applies to damage rolls when you use a sling, just as it does for thrown weapons. You can fire, but not load, a sling with one hand. Loading a sling is a move action that requires two hands and provokes attacks of opportunity. You can hurl ordinary stones with a sling, but stones are not as dense or as round as bullets. Thus, such an attack deals damage as if the weapon were designed for a creature one size category smaller than you and you take a –1 penalty on attack rolls.",weapon,simple,ranged,,1d3,1d4,b,2,20,,,,,,
Sling bullets,10,5,FALSE,(10),"Bullets are shaped metal balls, designed to be used by a sling or halfling sling staff. Bullets come in a leather pouch that holds 10 bullets.",weapon,simple,ammo,,,,,,,,,,,,
Sling staff,2000,3,FALSE,halfling,"Made from a specially designed sling attached to a short club, a halfling sling staff can be used by a proficient wielder to devastating effect. Your Strength modifier applies to damage rolls when you use a halfling sling staff, just as it does for thrown weapons. You can fire, but not load, a halfling sling staff with one hand. Loading a halfling sling staff is a move action that requires two hands and provokes attacks of opportunity. You can hurl ordinary stones with a halfling sling staff, but stones are not as dense or as round as bullets. Thus, such an attack deals damage as if the weapon were designed for a creature one size category smaller than you and you take a –1 penalty on attack rolls. A halfling sling staff can be used as a simple weapon that deals bludgeoning damage equal to that of a club of its size. Halflings treat halfling sling staves as martial weapons.",weapon,exotic,ranged,,1d6,1d8,b,3,20,,,,,,
Spear,200,6,FALSE,,A spear is 5 feet in length and can be thrown.,weapon,simple,melee,two-handed,1d6,1d8,p,3,20,brace,,,,,
Starknife,2400,3,FALSE,,"From a central metal ring, four tapering metal blades extend like points on a compass rose. A wielder can stab with the starknife or throw it.",weapon,martial,melee,light,1d3,1d4,p,3,20,,,,,,
